LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70",189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70"

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
MOR Ceramic Ionic Brush Round 25ml,9327417015122,Scanlon Hair,2.00,,1.82,,20.00,,40.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Dry Scalp Treatment 45ml,7290011521165,Scanlon Hair,1.00,,3.18,,35.00,,35.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Intense Curl Cream 300ml,7290011521042,Scanlon Hair,12.00,,3.63,,39.95,,479.40,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Oily Scalp Treatment 45ml,7290011521172,Scanlon Hair,2.00,,3.18,,35.00,,70.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Repair Conditioner,7290011521202,Scanlon Hair,1.00,,0.00,,35.00,,35.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Treatment  100ml,7290011521011,Scanlon Hair,8.00,,5.45,,60.00,,480.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Treatment 25ml,7290011521127,Scanlon Hair,0.00,,2.27,13.64,25.00,0.00,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Treatment Light 100ml,7290011521998,Scanlon Hair,4.00,,5.45,,60.00,,240.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Treatment Light 25ml,7290011521653,Scanlon Hair,1.00,,2.27,13.64,25.00,13.64,25.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
MOR Volume Conditioner 250ml,7290011521431,Scanlon Hair,2.00,,0.00,,35.00,,70.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
