"id","created_at","updated_at","supplier","barcode","product_range","display_name","order_name","supplier_sequence","discontinued","product_usage","current_max_stock","current_stock_available","current_cost_price","current_retail_price"
"140","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630491717","Inoa","Inoa 6,0","","02.01.28","0","Professional","1","0",\N,"0.00"
"141","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630414747","Inoa","Inoa 6,1","","02.01.29","0","Professional","1","1",\N,"0.00"
"142","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630642065","Inoa","Inoa 6,17","","02.01.30","0","Professional","1","1",\N,"0.00"
"143","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","","Inoa","Inoa 6,18","","02.01.31","0","Professional","1","1",\N,"0.00"
"144","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630414846","Inoa","Inoa 6,23","","02.01.32","0","Professional","1","1",\N,"0.00"
"145","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630660656","Inoa","Inoa 6,3","","02.01.33","0","Professional","1","2",\N,"0.00"
"146","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630415041","Inoa","Inoa 6,32","","02.01.34","0","Professional","1","2",\N,"0.00"
"147","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630415140","Inoa","Inoa 6,34","","02.01.35","0","Professional","1","2",\N,"0.00"
"148","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630529939","Inoa","Inoa 6,35","","02.01.36","0","Professional","1","1",\N,"0.00"
"149","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630481572","Inoa","Inoa 6,40","Inoa 6,40 Rubilane","02.01.37","0","Professional","0","1",\N,"0.00"
"150","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630482470","Inoa","Inoa 6,42","","02.01.38","0","Professional","1","1",\N,"0.00"
"151","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630415249","Inoa","Inoa 6,45","","02.01.39","0","Professional","1","1",\N,"0.00"
"152","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630415348","Inoa","Inoa 6,46","","02.01.40","0","Professional","1","1",\N,"0.00"
"153","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630447356","Inoa","Inoa 6,64","","","1","Professional","0","2",\N,"0.00"
"154","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630541023","Inoa","Inoa 6,8","","02.01.41","0","Professional","1","1",\N,"0.00"
"155","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630415546","Inoa","Inoa 7","","02.01.42","0","Professional","4","3",\N,"0.00"
"156","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630491816","Inoa","Inoa 7,0","","02.01.43","0","Professional","1","1",\N,"0.00"
"157","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630568129","Inoa","Inoa 7,07","","02.01.44","0","Professional","1","1",\N,"0.00"
"158","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474630415645","Inoa","Inoa 7,1","","02.01.45","0","Professional","1","1",\N,"0.00"
"159","2018-10-14 12:38:32","2018-10-15 10:37:18","L'Oreal","3474636383108","Inoa","Inoa 7,11 Blond Resist","","02.01.46","0","Professional","1","1",\N,"0.00"
